Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,72.88546961
Albania,Trade (% of GDP),36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,40.13869895,44.41178201,44.72937807,47.1306267,49.89541841,61.60926104,64.24744626,65.99146503,64.8232151,65.03793832,69.11629266,72.20190895,79.91190089,75.24854728,73.32135756,75.53253297,80.69899853,76.96835832,75.75061856,75.02120231,71.27944766,74.01445045,76.78738179,75.69407837,75.38212893,59.52071189,75.59032173,84.6980571
Algeria,Trade (% of GDP),38.11158728,47.15331971,48.38071368,52.71758671,49.18908424,44.92281337,48.58443779,55.19100521,53.70514788,52.24391151,45.09445056,50.92910934,62.85834364,54.52964912,56.58960528,57.7691353,61.35799757,66.84046022,65.91529197,67.54547339,71.02849225,64.28475472,63.49121599,62.22008996,60.75763933,59.15100816,56.92354197,53.20462259,49.76093279,49.82081617,52.43616768,46.50684261,40.38975656,46.83705926,51.20237574
Angola,Trade (% of GDP),,,,,,,,,,,,,,,105.3017426,103.9012296,103.5799471,106.5909621,94.62515933,108.0600679,121.3647085,122.4461441,104.1236353,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682223,66.37801333,57.82953812,65.94202893,74.46449859,69.69107051
Antigua and Barbuda,Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,141.5461611,130.0715499,132.0259179,127.6643236,130.6551527,137.5377836,94.28952989,101.0749606,117.7035278
Argentina,Trade (% of GDP),15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.54770801
Armenia,Trade (% of GDP),,,81.33571855,100.8658552,101.0767594,107.9731463,112.4293646,86.11485707,79.22956012,78.54774506,71.84245188,70.56047914,72.23333023,69.86426639,73.98450184,80.0513676,73.07063399,70.13973858,61.03013798,56.97504709,54.54232796,57.27423574,64.64297597,69.43557366,75.96167596,77.55504816,75.77886696,71.68207434,76.07796746,87.20237654,92.47310702,96.11415413,69.48880754,79.66988882,101.4107783
Aruba,Trade (% of GDP),,,,,,,,171.3620981,175.3441296,168.781911,163.26736,164.5590143,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,161.8912803,162.8820521,145.8336633,142.2397634,143.8042955,145.2135524,145.3435727,124.1372672,147.0155771,172.8841717
Australia,Trade (% of GDP),32.56496047,32.06500489,32.15271446,32.18918841,33.0445568,35.39953493,36.45880883,37.70404521,38.23305336,37.98083228,39.99270246,39.02979542,40.93521098,44.2187045,41.4490922,40.20156691,37.00961359,39.16074697,41.55944717,42.00802003,42.8467764,45.74086303,40.52158899,41.85113203,43.1642965,41.27287902,42.48402303,41.66393193,40.97407948,42.20373168,43.73606508,46.18750189,44.66445607,40.30248027,45.82177023
Austria,Trade (% of GDP),66.82429381,70.81573622,71.76948195,70.32385669,67.89610883,63.51382704,66.24657391,68.52500575,70.4693163,75.24447603,77.34952166,78.56293298,85.84260773,87.99625672,87.58449371,86.88222632,91.47422019,94.67475478,98.78572532,101.3649584,102.7437044,87.6004931,99.64488255,105.7750984,105.8407914,104.985374,104.49674,103.1175817,101.5734946,105.5560668,108.37797,108.2072849,99.94821411,111.0322687,124.3834515
Azerbaijan,Trade (% of GDP),,,83.08321965,86.86377246,140.7999834,133.4904459,55.34931946,85.89371075,80.84974017,82.07896653,77.2278091,69.82596488,78.54856828,78.81518549,92.81814433,107.5519485,121.5071159,115.8418846,105.2623998,96.64180815,89.24289686,74.74404168,74.98598846,80.50804501,78.26306954,74.67584476,69.4832252,72.60150791,90.07731873,90.40231568,91.67257654,85.81814541,72.01786765,76.28686569,86.98227325
"Bahamas, The",Trade (% of GDP),,111.0003266,110.1200253,106.1186181,101.4615632,103.3599612,104.4019638,104.4654418,105.856747,79.73488557,77.72616717,75.70273833,79.64494389,72.50088064,70.27798171,71.06354051,76.00198337,81.39627092,87.5507143,88.01281556,87.42922288,76.52104396,78.67560243,88.33368916,84.25152047,84.54841389,80.53702723,69.67797527,67.21292158,68.33428404,72.1542686,68.78662348,53.42075807,65.93254133,75.98296011
